setting,label,turkish,espresso,aeropress,moka_pot,drip_coffee_maker,siphon,pour_over,french_press
145,3-6-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
146,3-6-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
147,3-6-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
148,3-7-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
149,3-7-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
150,3-7-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
151,3-7-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
152,3-8-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
153,3-8-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
154,3-8-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
155,3-8-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
156,3-9-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
157,3-9-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
158,3-9-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
159,3-9-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
160,4-0-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
161,4-0-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
162,4-0-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
163,4-0-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
164,4-1-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
165,4-1-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
166,4-1-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
167,4-1-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
168,4-2-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
169,4-2-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
170,4-2-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
171,4-2-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
172,4-3-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
173,4-3-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
174,4-3-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
